Price,Model Year,Mileage,Eng_Cap,City_Lahore,City_Islamabad,City_Karachi,City_Un-Registered,Eng_Type_Petrol,Eng_Type_Hybrid,Eng_Type_Diesel,Transmission_Manual,Transmission_Automatic,Body_Type_Hatchback,Body_Type_Sedan,Body_Type_SUV,Body_Type_Mini Van,Body_Type_Crossover,Make_Suzuki,Make_Toyota,Make_Honda,Make_Daihatsu,Make_Nissan
2495000.0,2019,7700,1300,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
3325000.0,2017,31000,1500,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
1750000.0,2010,94000,1800,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1550000.0,2015,27000,660,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
550000.0,2009,68000,800,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
1700000.0,2010,91000,1800,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
11500000.0,2012,90000,2700,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
2480000.0,2018,18000,1300,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
3350000.0,2013,110000,1500,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
3279999.9999999995,2017,55000,1800,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
675000.0,2013,45000,800,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
430000.0,2006,102876,800,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
1875000.0,2018,2060,660,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
1250000.0,2007,177000,1000,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
3350000.0,2015,45000,1800,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1700000.0,2016,33000,660,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
2250000.0,2013,70000,1500,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
3400000.0,2015,56000,1500,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
1050000.0,2019,16000,800,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
4200000.0,2012,71000,2400,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1620000.0,2015,75922,660,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1025000.0,2008,579000,1300,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
16299999.999999998,2015,29197,2700,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1620000.0,2012,92000,1300,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
550000.0,2011,50000,800,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
1125000.0,2014,161000,660,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
660000.0,2015,40000,800,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
630000.0,2007,92000,1000,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2595000.0,2017,41000,1300,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
370000.0,2004,166511,800,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
1620000.0,2018,8200,1000,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
3399000.0,2017,89990,1500,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
760000.0,2015,79900,800,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
575000.0,2011,138000,800,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
1020000.0,2003,100000,2000,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
530000.0,2008,120000,1000,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2480000.0,2017,38000,1300,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
435000.0,2006,116000,1000,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1370000.0,2019,18000,660,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
1090000.0,2006,200000,1300,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1525000.0,2014,86000,660,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1680000.0,2013,80500,1300,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1300000.0,2008,190000,1800,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
250000.0,2001,193000,1300,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
770000.0,2000,120000,1600,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
2550000.0,2015,94000,1500,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1025000.0,2007,156000,660,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
750000.0,2006,135000,1300,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
2690000.0,2016,42000,1600,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
3295000.0000000005,2019,4100,1600,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
2475000.0,2017,66198,1000,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2050000.0,2016,16667,1000,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1865000.0,2019,4000,1300,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
650000.0,2009,152000,1000,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2295000.0,2016,53122,1000,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
4500000.0,2012,104000,2500,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
2975000.0,2017,32000,1600,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
2135000.0,2016,16084,660,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
2550000.0,2015,160680,1600,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
